ds,y
2021-11-25,7
2021-11-26,4
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,0
2021-12-15,0
2021-12-16,0
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,0
2021-12-28,0
2021-12-29,0
2021-12-30,0
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,2
2022-01-20,4
2022-01-21,3
2022-01-22,2
2022-01-23,0
2022-01-24,0
2022-01-25,4
2022-01-26,3
2022-01-27,5
2022-01-28,6
2022-01-29,3
2022-01-30,0
2022-01-31,4
2022-02-01,8
2022-02-02,6
2022-02-03,11
2022-02-04,8
2022-02-05,8
2022-02-06,9
2022-02-07,6
2022-02-08,4
2022-02-09,4
2022-02-10,6
2022-02-11,6
2022-02-12,3
2022-02-13,0
2022-02-14,5
2022-02-15,9
2022-02-16,11
2022-02-17,6
2022-02-18,1
2022-02-19,8
2022-02-20,8
2022-02-21,1
2022-02-22,0
2022-02-23,5
2022-02-24,4
2022-02-25,4
2022-02-26,10
2022-02-27,0
2022-02-28,0
2022-03-01,3
2022-03-02,1
2022-03-03,0
2022-03-04,0
2022-03-05,2
2022-03-06,3
2022-03-07,6
2022-03-08,5
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,4
2022-03-15,4
2022-03-16,19
2022-03-17,8
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-26,0
2022-03-27,0
2022-03-28,1
2022-03-29,2
2022-03-30,4
2022-03-31,5
2022-04-01,3
2022-04-02,0
2022-04-03,0
2022-04-04,3
2022-04-05,2
2022-04-06,3
2022-04-07,6
2022-04-08,0
2022-04-09,8
2022-04-10,0
2022-04-11,10
2022-04-12,20
2022-04-13,14
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,2
2022-04-27,8
2022-04-28,8
2022-04-29,10
2022-04-30,0
2022-05-01,8
2022-05-02,4
2022-05-03,2
2022-05-04,18
2022-05-05,6
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,4
2022-05-10,0
2022-05-11,10
2022-05-12,12
2022-05-13,6
2022-05-14,8
2022-05-15,18
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,18
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
