Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAL,RA-2022-0013,BR1001081,BR1001082,2,5.87,RockChip,Aurora West,ALS,PREP-31,ME-MS61L+ME-MS81,5/16/2022,NA,NA,5/24/2022,7/4/2022,BH22134760,VESPASIANO/MG,JAC
BRAL,RA-2022-0024,BR1001382,BR1001385,4,11.89,RockChip,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,6/27/2022,NA,NA,6/30/2022,8/11/2022,BH22176915,VESPASIANO/MG,HEM
BRAL,RA-2022-0025,BR1001533,BR1001545,13,52.59,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,6/27/2022,NA,NA,6/30/2022,8/5/2022,BH22176917,VESPASIANO/MG,HEM
BRAL,RA-2022-0027,BR1000554,BR1000563,10,41.59,StreamSed,Farias Brito,ALS,PREP-41,ME-MS61L+ME-MS81+Au-ICP22,6/27/2022,NA,NA,6/30/2022,8/3/2022,BH22176922,VESPASIANO/MG,HEM
BRAL,RA-2022-0035,BR1001546,BR1001553,8,20.96,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,7/13/2022,NA,NA,7/19/2022,8/30/2022,BH22197627,VESPASIANO/MG,ULS
BRAL,RA-2022-0035,BR1002001,BR1002010,10,26.2,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,7/13/2022,NA,NA,7/19/2022,8/30/2022,BH22197627,VESPASIANO/MG,ULS
BRAL,RA-2022-0038,BR1001554,BR1001585,32,93.22,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,8/1/2022,NA,NA,8/4/2022,9/5/2022,BH22216783,VESPASIANO/MG,HEM
BRAL,RA-2022-0038,BR1002011,BR1002047,37,96.82,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,8/1/2022,NA,NA,8/4/2022,9/5/2022,BH22216783,VESPASIANO/MG,HEM
BRAL,RA-2022-0044,BR1001586,BR1001598,13,36.97,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,8/19/2022,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,8/23/2022,10/8/2022,BH22236458,VESPASIANO/MG,HSJ
BRAL,RA-2022-0044,BR1002048,BR1002069,22,59.72,Soil,Varzea Alegre,ALS,PREP-31,ME-MS61L+ME-MS81,8/19/2022,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,8/23/2022,10/8/2022,BH22236458,VESPASIANO/MG,HSJ
BRAL,RA-2022-0045,BR1000564,BR1000571,8,32.74,StreamSed,Varzea Alegre,ALS,PREP-41,ME-MS61L+ME-MS81+Au-ICP22,8/19/2022,NA,Th,8/23/2022,10/26/2022,BH22236461,VESPASIANO/MG,HSJ
BRAL,RA-2022-0045,BR1000651,BR1000659,9,36.83,StreamSed,Varzea Alegre,ALS,PREP-41,ME-MS61L+ME-MS81+Au-ICP22,8/19/2022,NA,Th,8/23/2022,10/26/2022,BH22236461,VESPASIANO/MG,HSJ
